address,name,rate,votes,location
"1, Gottigere Main Road, Bannerghatta Road, Bangalore",Upahara Bhavan,3.8,55,Bannerghatta Road
"934, 16th Main Road, Kuvempu Nagar, BTM 2nd Stage, BTM, Bengalore",Sher-E-Punjab,3.2,19,BTM
"F 7, Ranka Villa, Opposite Kalyani Motors, Bilekahalli Main Road, Bannerghatta Road, Bangalore",Shuddh Desi Khana,4.0,597,Bannerghatta Road
"634, 13th Cross, Near Delmia Circle, JP Nagar, Bangalore",Jaganath Hotel and Restaurant,3.6,35,JP Nagar
"43, Ground Floor, R R Commercial Complex, SY 316/1, Begur Hulimavu Road, Begur Hobli, Bannerghatta Road, Bangalore",Five Star Chicken,3.5,9,Bannerghatta Road
"749, 7th Cross 14th Main, 2nd Stage, BTM, Bangalore",Aramane Donne Biriyani,3.9,189,BTM
"471, Kothanur Dinne Main Road, 1st Floor, RBI Layout, 7th Phase, JP Nagar, Bangalore",Mani's Dum Biryani,4.2,373,JP Nagar
"19 D Cross, 7th Main, BTM, Bangalore",Amontron,3.9,435,BTM
"958/60/A2A, Opposite BGS School, Hulimavu, Bannerghatta Road, Bangalore",A M Biryani Hotel,3.3,6,Bannerghatta Road
"1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",Birinz,4.1,292,BTM
"Survey # 81/4A, Cave Temple Road, Opposite Meenakshi Mall, Bannerghatta Road, Bangalore",Just Shawarma,3.6,137,Bannerghatta Road
"633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",Hyderabadi Bawarchi,3.2,133,Bannerghatta Road
"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",Fish Chain,3.9,37,JP Nagar
"25, 9th Cross, 34th Main, ITI Layout, 1st Phase, JP Nagar, Bangalore",Prasiddhi Food Corner,3.7,170,JP Nagar
"39, 3rd A Cross, 25th Main, BTM Layout, 2nd Stage, Roopa Nagar, Rashtrakavi Kuvempu Nagar, Bangalore",Biriyani Bhatti,3.7,21,BTM
"Arakere Gate, Next to HSBC, Opposite Reliance Mart, Bannerghatta Road, Bangalore",Hyderabad Biryaani House,3.6,794,Bannerghatta Road
"Vega City Mall, 3rd Floor, Bannerghatta Road, Bangalore",Galito's,4.6,404,Bannerghatta Road
"16th Main, BTM, Bangalore",C. K. Mega Hot Food,3.9,100,BTM
"283/1, 3rd Cross, JP Nagar 3rd phase,next to mini Forrest, Bangalore",Lassi Shop,3.9,38,JP Nagar
"2nd Main Road, SR Compound, Arekere Mico Layout, South City, Bannerghatta Road, Bangalore",Red Chilli Restaurant,3.2,93,Bannerghatta Road
"479/496/A, 2nd Block, BTM 6th Stage,Arekere, BTM, Bangalore",RSS Donne Biryani,3.3,58,BTM
"3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Rajdhani Thali Restaurant,3.9,561,Bannerghatta Road
"240, 7th cross, 1st Main, Mico Layout, Opposite Sate Bank of India, 2nd Stage, BTM Bangalore",PHEW (Play Hard Eat Wild),3.9,486,BTM
"98/3, Near Food World, Gottigere, Bannerghatta Road, Bangalore",New Kabab Zone,3.6,102,Bannerghatta Road
"Near Decathlon, Meenakshi Layout, Bannerghatta Road, Bangalore",Bawarchi Paradise,3.5,89,Bannerghatta Road
"N Pramil & Amith Complex, Rajiv Gandhi Road, Jaraganahalli, Kanakapura Road, Bangalore",Shree Udupi Grand,3.5,17,Kanakapura Road
"13, Opposite Auchan Hyper Market, Bannerghatta Road, Bangalore",Chicken County Grand,3.9,320,Bannerghatta Road
"10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",Roll Over,4.1,237,JP Nagar
"Near AECS Maruthi Dental College, Doddakammanahalli, Bannergatta Road, Bangalore",Darjeeling Momos & Fast Food Center,3.8,37,Bannerghatta Road
"25th Main, 2nd Stage, BTM, Bangalore",Veruthe Oru Thattukada,3.7,27,BTM
"10, Near Maruti Sagar Automobiles, Bhavani Layout, Bannerghatta Road, Bangalore",Savoury - Sea Shell Restaurant,3.9,1227,Bannerghatta Road
"1, 7th Main Rd, NS Palya, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka",Warm Oven,3.9,32,BTM
"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Firangi Bake,4.0,95,Bannerghatta Road
"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",Kundana,3.7,110,Bannerghatta Road
"Shop E 1 / 146, G P Rajarantham Road, BTS Layout, Arekere Near Goverenment Hospital, Bannerghatta Road, Bangalore",Food Ka Masti,3.2,45,Bannerghatta Road
"688, Opposite IWWA Party Hall, 7th Main, BTM, Bangalore",The Shawarma Shop,4.1,381,BTM
"1058, Sobha Arcade, Bilekahalli, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Momo Junction,3.8,87,Bannerghatta Road
"Opposite IIMB, Krishnaraju Layout, Sundar Ram Shetty Nagar, Bilekahalli Bannerghatta Road, Bangalore",Antilla Aromas,3.7,18,Bannerghatta Road
"Shop 161,161A,166, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Faasos,3.9,251,Bannerghatta Road
"44/1, Opposite Brigade Millennium, Kothanur Dene Main Road, JP Nagar, Bangalore",Punjabi Food Corner,3.0,353,JP Nagar
"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",Mealer.in,4.0,205,JP Nagar
"16th Main, 2nd Stage, BTM, Bangalore",Pathaan Sir,3.9,183,BTM
"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",Cold Stone Creamery,3.9,99,Bannerghatta Road
"24, Shop 2, Ground Floor, 3rd B Cross Road, 18th Main Road, Roopa Nagar, 2nd stage BTM, Bangalore",Hari Super Sandwich,3.9,13,BTM
"123, 24th Main, Opposite Royal High School, 5th Phase, JP Nagar, Bangalore",Amritsari Kulcha Land,4.1,260,JP Nagar
"22, B.H.B.C.S Layout, Opposite Infosys, 2nd Stage, BTM, Bangalore",Chokha Chowka,3.9,355,BTM
"725,16th Main, 2nd Stage, BTM, Bangalore",Gorbandh,4.1,83,BTM
"17/1, SNVR Complex, Opposite Royal School, 24th Main, 18th Cross, JP Nagar, Bangalore",Grills & Rolls,2.5,321,JP Nagar
"36, 29th Main Road, Mahadeshwara Nagar, Stage 2, BTM, Bangalore",Bathinda Junction,3.9,362,BTM
"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",Stories,4.2,2166,JP Nagar
"777, 16th Main Road, 2nd Stage, BTM, Bangalore",New Gongura's,3.7,43,BTM
"123, 5th Cross Road, Arakere Gate, Araka Mico Layout, Arekere, Bannerghatta Road, Bangalore",Sagar Grand,3.8,30,Bannerghatta Road
"16, 7th Phase, RBI Layout, Puttenahalli, JP Nagar, Bangalore",Kanti Sweets,4.0,182,JP Nagar
"67, Phase 3, Sarakhi Industrial Layout, JP Nagar, Bangalore",UBQ By Barbeque Nation,3.4,9,JP Nagar
"54, 5th Cross, Thayappa Garden, Devarachikkanahalli Main Road, Bilekahalli, Bannerghatta Road, Bangalore",Agarwal Food Service,3.8,265,Bannerghatta Road
"NS Palya, Stage 2, BTM Layout, Bangalore",Daniyal's,3.1,41,BTM
"7, DSR Galleria, Opp Kalyani Motors, Bilekahalli Gate, Bannerghatta Road, Bangalore",Seasons,3.8,500,Bannerghatta Road
"Shop 1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main, Puttanhalli, JP Nagar, Bangalore",Chef Delicacies,3.1,7,JP Nagar
"3, Arakere Gate, Bannerghatta Road, Bangalore",Chung Wah,4.0,532,Bannerghatta Road
"1, 7th Main Road, NS Palya, Stage 2, BTM, Bangalore",Indiana Burgers,3.4,23,BTM
"67, Vaishnavi Residency, Next to Yelchanahalli Metro Station, Kanakapura Road, Bangalore",Moksha,3.6,42,Kanakapura Road
"21, Ground Floor, B.H.C.S.L Layout, Stage 2, Bannerghatta Road, Bangalore",Marwa Restaurant,3.5,551,Bannerghatta Road
"11, Opposite Sobha Tulip Apartments, 5th Phase, JP Nagar, Bangalore",Chaatimes,3.9,100,JP Nagar
"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Shanghai Court,4.2,421,Bannerghatta Road
"1, Nayak Layout Gate, B.K. Circle, 8th Phase, JP Nagar, Bangalore",Akshaya Donne Biriyani,3.1,38,JP Nagar
"42, Opposite RV Dental College, 7th Cross, JP Nagar, Bangalore",Bhojohori Manna,3.7,662,JP Nagar
"3rd Floor, 5, 3 Road Cross, DLF Main Road, Bannerghatta Road, Bangalore",Hunger Bee,3.8,54,Bannerghatta Road
"766/A, 16th Main Road, BTM 2nd Stage, Bangalore",Yum In My Tum,4.1,92,BTM
"54, 5th Cross, Bilekahalli, Bannerghatta Road, Bangalore",Maggi N Maggi House,3.4,22,Bannerghatta Road
"Shop 3, Building 58, A Main Road, Marenahalli, 2nd Phase, JP Nagar, Bangalore",B.M.W Bhookh Mitaane Wala,3.5,8,JP Nagar
"175-176, Bannerghatta Main Road, Dollars Colony, Behind Vodafone Store, Phase 4, JP Nagar, Bangalore",Biryani Miya,3.7,36,JP Nagar
"172/1, 2nd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Krispy Kreme,3.7,14,Bannerghatta Road
"42,24th Main Road, 5th Phase, JP Nagar",Paani Kum Chai,4.0,23,JP Nagar
"13, 7th Cross, 2nd Phase, JP Nagar, Bangalore",Chulha Chauki Da Dhaba,4.2,2350,JP Nagar
"6 Ground Floor, RR Commercial Complex, AkshayNagar, DLF New Town, Bannerghatta Road, Bangalore",Hotel Brundavan,0.0,0,Bannerghatta Road
"4, MICO Layout, 2nd Stage, Arekere, Bannerghatta Road, Bangalore",SGS Non Veg - Gundu Pulav,3.9,120,Bannerghatta Road
"96, 100 Feet Ring Road, Vysya Bank Colony, 1st Stage, BTM, Bangalore",Magix's Parattha Roll,3.7,184,BTM
"9/10/9/1, Hulimavu Begur Road, 80 Ft Road, Near DLF Township, Bannerghatta Road, Bangalore",Elegant Dining,3.6,225,Bannerghatta Road
"24, Shop 1, Ground Floor, 3rd Cross, 18th Main Road, 2nd Stage, BTM, Bangalore",AlienSip,3.6,11,BTM
"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",Waffle Head,4.0,35,BTM
"9/10/9/1, Hulimavu Begur Road, 80Ft Road, Near DLF Township, Yelenhalli, Bannerghatta Road, Bangalore",Samruddhi Biryani,3.0,45,Bannerghatta Road
"Near Brand Factory, Bannerghatta Road, Bangalore",Ande Ka Funda,3.2,56,Bannerghatta Road
"Shop 1, 1st Floor, BTM Complex, 9th Main Road, Layout 1st Stage, BTM, Bangalore",Basmati Delights,4.0,869,BTM
"Doddakamanahalli Main Road, Kalena Agrahara, Bannerghatta Road, Bangalore",Charlee's Chicken,3.2,34,Bannerghatta Road
"#12, 12th Cross BDG Residency, Puttenahalli",Samosa Singh,4.0,153,JP Nagar
"Shop 11& 12, First Floor, 3618/1, Dodda Kammanahalli, Main Road, Besides Campus Student Communities Building, Bangalore",Cravings,3.7,139,Bannerghatta Road
"Kitchens@, No. 19, 35/4, 24th Main, JP Nagar 7th Phase, Puttenahalli, Bangalore",Nagas,3.1,10,JP Nagar
"Ground Floor 9/1, Basavalingappa Nagar, Billekalli Village, South Taluk, Bannerghatta Road, Bangalore",Thalassery Restaurant,0.0,0,Bannerghatta Road
"6185/ 15/1, SOS, Doddakamanahalli, Bannerghatta Road, Bangalore",Matka,3.7,181,Bannerghatta Road
"950, 16th Main Road, 2nd Stage, BTM, Bangalore",Punjabi Swag,3.9,669,BTM
"Royal Meenakshi Mall, Third Floor, Hulimavu, Bannerghatta Road, Bangalore",Taco Bell,3.7,168,Bannerghatta Road
"1378, East End Circle, Jayanagar, Bangalore",Ambur Star Dum Biryani,3.4,17,Jayanagar
"168, 16th Croos, 7th Mainroad NS Palya, BTM, Bangalore",Ahmed's Little Hut,0.0,0,BTM
"14, Shanthiniketan Circle, Arakere, Off Bannerghatta Road, Bannerghatta Road, Bangalore",Mother's Rasoi,3.8,170,Bannerghatta Road
"Ramaiah Garden, Beside Shoba Tulit Apartment, JP Nagar, Bangalore",Dosa Bazaar,4.0,112,JP Nagar
"31454, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Tejaswini Nagar, Bengaluru",Babu Moshai,3.0,43,Bannerghatta Road
"32, 16th Main Road, 1st Cross, Mahadeshwara Nagar, BTM 2nd Stage, Bangalore",The Bong Palate,3.8,58,BTM
"33rd Main Road, KR Layout, JP Nagar, Bangalore",Gowdru Mane Oota,3.7,80,JP Nagar
"2, Puttenahalli Main Road , Government School, 7th Phase, JP Nagar, Bangalore",Banashankari Nati Style,3.6,8,JP Nagar
"Opposite Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",Upahara Darshini,4.0,167,Jayanagar
"127, 16/1, Venkateswappa Layout, Kembathalli, Near Canara Bank ATM, Gottigere Post, Bannerghatta Road, Bangalore",Chandrima's Kitchen,3.7,38,Bannerghatta Road
"Upper Ground Floor, 424/376/487 SYNO 63, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Keventers,3.8,29,Bannerghatta Road
"62, 24th Main, 7th Cross, 2nd Phase, Opposite to R V Dental College, JP Nagar, Bangalore",Bikaner Jn,3.9,85,JP Nagar
"2, Mangammanapalya Main Rd, Hosapalaya, Muneshwara Nagar, BTM, Bangalore",Crunch Pizzas,2.6,473,BTM
"Shop 984, Btm 2nd Stage, 16th main, 7th cross, BTM, Bangalore",Lassi Berg,3.4,13,BTM
"1/8, Big Baazar, Kothanur Dinne Main Road, 7th Phase, RBI Layout, JP Nagar, Bangalore",Kakal-Kai Ruchi,3.7,217,JP Nagar
"6, 3rd B Cross, 18th Main, Kuvempu Nagar, BTM, Bangalore",Manchu Cafe,3.8,21,BTM
"7/43 First floor, 3rd cross, 4th Main, Kaverappa Compound, N S Palaya, 2nd Stage, BTM, Bangalore",Calorie Express,3.6,192,BTM
"934, 1st Block, 4th Stage, DC Halli, BG Road, BTM, Bangalore",BANGALORE BOX,4.2,611,BTM
"Dream Mart supermarket, Opposite To Paratha Junction Arekere, Bannerghatta Road, Bangalore",Yummy Momos,3.6,44,Bannerghatta Road
"30, DC Main Road, Opposite Munichinnappa Garden, Bannerghatta Road, Bangalore",Hotel Khaaja,3.1,68,Bannerghatta Road
"91/1, Gottigere Main Road, Bannerghatta, Opp United Bank Of India , bef Dmart",The Gujarat Express,3.1,16,Bannerghatta Road
"Bannerghatta Road, Bangalore",Ovenstory Pizza,4.0,166,Bannerghatta Road
"2, Akshay Nagar, Near DLF New Town, Begur Main Road, Bannerghatta Road, Bangalore",Vishal Foods,3.3,57,Bannerghatta Road
"936, 16th Main BTM Layout 2nd Stage Old Ward 65, Bangalore 76",Lassi Darbar,3.5,11,BTM
"4, Arama Suites, Sarvabhouma Nagar, Off Bannerghatta Road, Bannerghatta Road, Bangalore",Chavadi,4.4,2233,Bannerghatta Road
"7th Main, NS Palya, 2nd Stage, BTM, Bangalore",Nanna Munna Paratha House,4.0,107,BTM
"45, Kasthuri Nivasa, 2nd Floor, 19th Main, 2nd Stage, BTM, Bangalore",Cucumber Town,4.2,306,BTM
"389, Cave Temple Road, Doddamma Layout, Pai Layout, Hulimavu, Bannerghatta Road, Bangalore",Sri Sai 99 Variety Dosa,3.7,32,Bannerghatta Road
"18, 24th Main Road, Aurobindo Marg, Opposite Sobha Tulip Apartment, 5th Phase, JP Nagar, Bangalore",Artinci Artisanal Ice Cream,0.0,0,JP Nagar
"8, 24th Main, Opposite Royal School, Phase 5, JP Nagar",Kolkata Famous Kati Roll,3.5,11,JP Nagar
"1st Floor, 173, Bannerghatta Road, Bilekahalli, Bangalore",Nellore Ruchulu,3.7,30,Bannerghatta Road
"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",Brewsky,4.4,4309,JP Nagar
"3474, Maruti Dental College Road, Dodakamanhalli, Opposite Valmark Ananda Apartment, Bannerghatta Road, Bangalore",Chefeana,4.0,212,Bannerghatta Road
"8, First Floor, Arekere Gate, Opposite Rose Garden Apartment, Bannerghatta Road, Bangalore",Bangaliana,2.9,153,Bannerghatta Road
"170, 16th Main, 2nd Stage, BTM, Bangalore",Gud Dhani,4.0,827,BTM
"45/46, Ajantha Avenue, 1st Floor, Puttenahalli Main Road, 7th Phase, JP Nagar, Bangalore",The Hunger Room,3.9,36,JP Nagar
"63, Ground Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",McDonald's,4.0,256,Bannerghatta Road
"Yelanahalli Main Road, Akshaya Nagar, Bannerghatta Road, Bangalore",Parisar Veg Restaurant,3.6,8,Bannerghatta Road
"309, Sai Nandana Presidency, 5th Main, 11th Cross, Near Rajashri Grandhim Hospitals, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Deejas Kitchen,3.9,73,Bannerghatta Road
"24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",Pancuzzi,4.2,169,JP Nagar
"14, Patel Medicals, 7th Main, 2nd Stage, BTM, Bangalore",Totus,0.0,0,BTM
"1743, Raghavendra Plaza , 2nd Phase, (Near Diwakars Hospital), JP Nagar, Bangalore",Zhang's - Chinese Restaurant,4.1,586,JP Nagar
"294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",Shagun Sweets & Foods,3.5,221,BTM
"Teja Complex, 2nd Floor, 30th Main Road, 9th Cross Jayanagar, B.B.M.P South, JP Nagar, Bangalore",Eat Well,2.9,22,JP Nagar
"25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",Dev's Gugababa,3.5,177,BTM
"18, 24th Main Road, Near Sobha Tulip Apartment, 5th Phase, JP Nagar, Bangalore",Oogway Express,3.9,347,JP Nagar
"Ground Floor, Gowry's, Next To Vijaya Bank, Arakere Gate, Bannerghatta Road, Bangalore",Domino's Pizza,3.0,347,Bannerghatta Road
"Agastya Suites, 116, 8th Main Road, Next to M.K.Ahmed Retail, 4th Phase, JP Nagar, Bangalore",Pizza Stop,3.9,385,JP Nagar
"7, 7th Phase, Near EK Retail, JP Nagar, Bangalore",Balaji Bombay Vada Pav Gujrati Dalebi,3.8,37,JP Nagar
"15, Ground Floor, MN Complex, Near Brigade Millenium, 7th Phase, JP Nagar, Bangalore",The Cake Ville,3.2,18,JP Nagar
"288, Ground Floor, Opposite HP Petrol Pump, 15th Cross, 18th Main, 5th Phase, JP Nagar, Bangalore",The Egg Factory,4.0,1305,JP Nagar
"1, Opposite British Biological, Arekere, Bannerghatta Road, Bangalore",Chow San,3.0,122,Bannerghatta Road
"20, Gottigere - Kengeri Road, Royal Lake Front Phase1, JP Nagar, Bangalore",New Udupi Grand,3.5,47,JP Nagar
"11/2, Arakera Main Road, Arakera Gate, Bannerghatta Road, Bangalore",New Karawali Lunch Home,3.5,20,Bannerghatta Road
"28 1st Main 2nd Cross Sarakki Garden, JP Nagar 6th Phase, JP Nagar, Bangalore",SR Choco Station,3.4,7,JP Nagar
"941/1, Shop 4, Hulimavu Main Road, Bannerghatta Road, Bangalore",Bangalore Pantry,0.0,0,Bannerghatta Road
"2nd Cross, Kothnoor Village Main Road, Natraja Layout, 7th Phase, JP Nagar, Bangalore",Momo Jojo,4.3,539,JP Nagar
"Hongasandra, 1st Main Road, Bommanahalli, Bangalore",Pizza Palace,0.0,0,Bommanahalli
"500, 2nd Floor, 2nd Block, 6th Stage, Near Sai Baba Temple, Arekere, Bannerghatta Road, Bangalore",Simply Indian,3.9,681,Bannerghatta Road
"1059/1, 16th Main, 16th Cross, Mico layout, 2nd Stage, BTM, Bangalore",Delhi Biryani Cafe,3.5,10,BTM
"#8, 1st main, 1st Cross, Opp Jaraganahalli Park, 6th Cross, Second Floor, Second house, Chikkaswamy Layout",Rithika's Kitchen,3.8,106,JP Nagar
"15/1, Opposite Shopper's Stop, Bannerghatta Road, Bangalore",Punjabi Times,4.1,1025,Bannerghatta Road
"Shop 4, 7th Main Road, 2nd Tage, BTM Layout, BTM, Bangalore",Tarbouche,0.0,0,BTM
"524, 60 Feet Road,Vijaya Bank Layout, Opposite Police Station, Belekahalli, Bannerghatta Road, Bangalore",Cafe Coffee Day,3.7,26,Bannerghatta Road
"1/52-10, Bharath Petroleum Premises, Opposite Subramanya Arcade, Bannerghatta Road, Bangalore",Cravy Wings,4.2,289,Bannerghatta Road
"123(2), 24th Main, 5th Phase, Opposite To Royal High School, JP Nagar, Bangalore",Funky Punjab,3.9,407,JP Nagar
"1, Amruthnagar Main Road Konankunte, Kanakpura Road, Bengaluru",A1 Garam Masala,3.6,25,Kanakapura Road
"13/11, 1A, BVN Building, Arekere Main Road, Bannerghatta Road, Bangalore",Punjabi Corner,3.9,201,Bannerghatta Road
"53/A, Hulimavu, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Guru Palace,3.1,106,Bannerghatta Road
"1, Gopal Reddy Layout, 18th Cross, 21st Main, 5th Phase, JP Nagar, Bangalore",Zeeshan,3.1,320,JP Nagar
"1065/A, 5th Cross, 13th Main, 2nd Floor, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Ambara Gardenia,3.8,257,Bannerghatta Road
"544, 6th Main, 11th Cross, BTM layout, 2nd stage, BTM, Bangalore",LayerBite,3.8,9,BTM
"116/1, Devarchikkanahalli Road, Bilekahalli, Bannerghatta Road, Bangalore",Five Star Chicken,3.2,100,Bannerghatta Road
"A11, Opposite Ranka Apartments, Bilekahalli, Bannerghatta Road, Bangalore",Bhavani Chats,3.6,34,Bannerghatta Road
"3/1, VAV Avenue, Eshwara Layout, RBI Layout Main Road, JP Nagar 7th Phase, JP Nagar, Bangalore",Tandoor Chai House,0.0,0,JP Nagar
"172/1, 3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Shawarma Inc,3.2,4,Bannerghatta Road
"Ground Floor, 21, Krishnama Raju Layout, Near Oracle Dorasani Palya, JP Nagar, Bangalore",More Pizza,3.8,46,JP Nagar
"Hose 17, 19 cross, 7th main 2nd Stage, BTM, Bangalore",Appana Restaurant,0.0,0,BTM
"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Crafted Plate,4.2,237,JP Nagar
"Sir M Visveswaraya Road, Kutappa Garden, Mulki Sundar Ram Shetty Nagar, Bilekahalli, Bannerghatta Road, Bangalore",Shetty's Kitchen,3.7,108,Bannerghatta Road
"30, First Floor, 2nd Main, Santrupthi Nagar, Opposite Axis Bank, Kothanur Dinne Main Road, 7th Phase, Bangalore, JP Nagar, Bangalore",Machali Port,3.9,34,JP Nagar
"4th Floor, Bangalore Central Mall, 9th Block, JP Nagar, Bangalore",Naati Manae,3.1,10,JP Nagar
"MICO Layout, Arakere, Opposite Vijaya Bank, Bannerghatta Road, Bangalore",Garma Garam,3.2,144,Bannerghatta Road
"633, 100 Feet Ring Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Sambram Biriyani Paradise,3.5,97,JP Nagar
"449, 9th Cross, 2nd Phase, JP Nagar, Bangalore",Mr. Meetharam,3.2,34,JP Nagar
"25/1, Near Sampoorna, 24th Main, 5th Phase, JP Nagar, Bangalore",The Coastal Crew by Fujian on 24th,4.2,1028,JP Nagar
"52, 1st Floor, 3rd Cross, Omkar Nagar Arkere Gate, Near Reliance Store, Bannerghatta Road, Bangalore",BIB - Breakfast in the Box,3.8,84,Bannerghatta Road
"1st Cross, Bilekahalli, Near IIMB College, Bannerghatta Road, Bangalore",Angel Restaurant,2.8,165,Bannerghatta Road
"Gopalan Innovation Mall, 22, Sarakki Industrial Layout, Bannerghatta Main Road, 3rd Phase, JP Nagar, 3rd Phase, JP Nagar, Bangalore",Wow Momo,3.3,12,JP Nagar
"Beside Radiant Shine Apartment, Akshaya Nagar, Yellanahalli, Bannerghatta Road, Bangalore",Pizza Da Dhaba,2.9,57,Bannerghatta Road
"173, Bannerghatta Main Road, Stage 2, Bilekahalli, Bannerghatta Road, Bangalore",Kalpavruksha,3.9,99,Bannerghatta Road
"5, Ground Floor, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Juice Land,3.9,141,Bannerghatta Road
"21, 1st Floor, Next to Oracle, Kalyani Magnum Technum Park, 7th Phase, JP Nagar, Bangalore",Tandoor And Spice,4.0,181,JP Nagar
"14, Patel Medicals, 7th Main, BTM 2nd Stage, BTM, Bangalore",Kitchen24,0.0,0,BTM
"7/31, 7th Cross Road, Stage 2, BTM, Bangalore",Rock Stone Ice Cream Factory,4.0,128,BTM
"3, Millennium Ave, Jagruthi Colony, 7th Phase, JP Nagar, Bangalore",Paratha Plaza,3.8,171,JP Nagar
"Sir M Visveswaraya Road, Nyanappana Halli, Hulimavu",Krishna Vijayashree,3.5,13,Bannerghatta Road
"172/1, Vega City Mall, Floor 3, Food Court, Beside, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Soup Station,3.6,9,Bannerghatta Road
"90, Sai Baba Temple Road, Arekere, Bannerghatta Road, Bangalore",Tasty Point,3.3,9,Bannerghatta Road
"1-90/18, 100 Feet Ring Road, 9th Main Road, 1st Stage, BTM, Bangalore",Natural Mumbai Kulfi,3.5,8,BTM
"18, Near RV Dental College, 5th 'A' Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",Namma Kudla,3.9,200,JP Nagar
"48/4, Opposite Aikya Apartment, Chickamanahalli, Hulimavu, Bannerghatta Road, Bangalore",Triveni,3.6,33,Bannerghatta Road
"Ground Floor, 148/1 and 148/2, Near HSBC, Bannerghatta Road, Bangalore",Wangs Kitchen,3.0,114,Bannerghatta Road
"61/2a, 4th Main, NS Palya, 2nd Stage, BTM, Bangalore",RK Fresh Food,3.5,12,BTM
"312, 15th cross, 5th Phase, JP Nagar, Bangalore",Alif Restaurant,3.6,26,JP Nagar
"32, R.R Commercial Complex, Begur-Hulimavu Road, Bannerghatta Road, Bangalore",Dine One One Restaurant,3.6,15,Bannerghatta Road
"81, LA Prosperite, DLF City Road, Near Arkere Saibaba Temple, 6th Stage, 2nd Phase, Bannerghatta Road, Bangalore",Pallavas Veg Cuisine,3.6,46,Bannerghatta Road
"Shop 420, 7th Cross, BTM 2nd Stage, BTM, Banglore",The Food Cottage,3.7,48,BTM
"83, Kothnur Main Road, Rajathadri Layout, 7th Phase, JP Nagar, Bangalore",Brundhavana Pure Veg,3.7,98,JP Nagar
"228/A, 9th Main, K.S.R.T.C Layout, 2nd Phase, JP Nagar, Bangalore",Spice Up,3.8,146,JP Nagar
"1st Floor, 16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",Suryawanshi,3.7,16,Bannerghatta Road
"26, 7th Main, 15th Cross, Mico Layout, 2nd Stage, BTM, Bangalore",Tempteys,4.2,248,BTM
"11/11, 3rd E Cross, 21st Main, 2nd Stage, BTM, Bangalore",DeliBox.in,3.7,67,BTM
"Food Court, 4th Floor, Gopalan Innovation Mall, Bannerghatta Main Road, Bangalore",FRYBIES,3.3,15,Bannerghatta Road
"45, 100 Feet Road, Opposite Mandovi Motors, 4th Phase, JP Nagar, Bangalore",Crumb Together,4.1,583,JP Nagar
"Beside Axis Bank ATM, 2nd Cross Road, Puttenahalli Rd, 6th Phase, JP Nagar, Bangalore",The Foodyz,3.7,42,JP Nagar
"82, 3rd Floor, Sai Shree Building, Opposite Nilgiris Supermarket, Gottigere Kengeri Road, 8th Phase, JP Nagar, Bangalore",Bean D'er Cafe,3.5,8,JP Nagar
"Next to Radiant Shine Apartment,Akshya Nagar, Yealanahalli, Bannerghatta Road, Bangalore",Chaat Chatore,3.1,19,Bannerghatta Road
