index,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
14762,Coastal Delight,1,0,4.1,198,27,24,2146,2,9,650.0
14763,Krispy Kreme,1,0,4.0,47,70,37,1041,2,9,550.0
14765,Utse Kitchen,1,0,4.2,175,14,24,1580,2,9,375.0
14766,Subway,1,0,3.9,107,50,73,2085,2,9,150.0
14767,Mainland China,1,1,4.5,1401,12,25,768,2,9,500.0
14768,Cafe Azzure,1,1,4.3,2671,51,16,564,2,9,375.0
14769,Hammered,1,1,4.7,4678,15,70,2008,2,9,375.0
14770,Ishta Upahar,1,0,3.4,41,82,73,2149,2,9,150.0
14771,Delicacy,1,0,3.9,306,20,24,845,2,9,250.0
14772,Fanoos,1,0,3.9,132,20,73,156,2,9,550.0
14773,PurpleBasil.in,1,0,4.1,77,36,86,1259,2,9,275.0
14774,Afrina's Kitchen,1,0,3.4,9,36,86,1144,2,9,250.0
14775,Rahhams,1,0,3.9,851,20,24,1571,2,9,100.0
14776,WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,4.0,85,69,43,606,2,9,200.0
14777,Glen's Bakehouse,1,0,4.2,5308,27,2,228,2,9,100.0
14778,Navab's,1,0,3.6,10,20,36,1549,2,9,500.0
14779,Laughing Llama Gastropub,1,1,4.3,397,8,7,1221,2,9,400.0
14780,Gokul Kuteera,1,0,3.9,258,27,24,1760,2,9,250.0
14781,Skoolroom,1,0,4.3,570,82,16,565,2,9,325.0
14783,Gowdru Hotel,1,0,3.9,200,27,73,2160,2,9,200.0
14784,Keventers,1,0,3.9,54,14,13,1046,2,9,375.0
14785,Sweet Truth,1,0,4.0,29,0,0,230,2,9,375.0
14786,Oregano Pizzeria,1,0,3.5,62,20,73,1359,2,9,250.0
14787,Wangs Kitchen,1,0,3.1,112,20,24,700,2,9,375.0
14789,Portland Steakhouse & Cafe,1,1,4.3,2040,51,24,2276,2,9,300.0
14790,Bozo's Yum Yums,1,0,4.0,90,20,86,1115,2,9,375.0
14791,Pasta Street,1,1,4.5,1623,15,24,1365,2,9,250.0
14793,Chichaba's Taj,1,0,3.9,443,20,24,417,2,9,150.0
14794,Oh! Calcutta,1,1,4.4,1112,12,25,280,2,9,300.0
14795,Jingo BBQ & Burgers,1,0,3.9,40,36,73,447,2,9,100.0
14796,Zabi,1,0,3.8,173,21,73,333,2,9,200.0
14797,Shezan,1,0,4.1,391,15,24,735,2,9,325.0
14798,Eden Park,1,1,4.1,617,15,24,55,2,9,200.0
14799,Shawarma Inc,1,0,3.1,28,8,50,2072,2,9,250.0
14800,Dakshin Restaurant,1,0,3.6,16,8,24,1492,2,9,200.0
14801,Tata Cha,1,0,3.9,67,12,12,687,2,9,275.0
14802,Upahara Mandira,1,0,3.9,24,21,73,2224,2,9,75.0
14803,Caferia,1,0,3.3,4,20,73,1199,2,9,250.0
14804,Thai House,1,0,4.2,227,27,24,2336,2,9,150.0
14805,WOW! Momo,1,0,3.7,123,8,54,2354,2,9,750.0
14807,Tayabbs,1,0,3.0,9,20,73,2075,2,9,400.0
14808,Sheesh Kebab,1,0,4.1,69,20,24,1585,2,9,200.0
14809,Aagaman Veg,1,0,4.0,558,27,24,1760,2,9,200.0
14810,The Waffle Press,1,0,4.3,116,80,37,1058,2,9,100.0
14811,American Bites,1,0,2.4,48,35,73,1122,2,9,75.0
14812,Sagar Delicacy,1,0,3.9,87,82,24,1708,2,9,250.0
14813,BIB - Breakfast in the Box,1,0,3.5,41,36,36,45,2,9,300.0
14814,Imli,1,0,3.9,1838,27,24,1995,2,9,400.0
14815,XO Belgian Waffle,1,0,4.4,216,8,50,1041,2,9,150.0
14816,The Adukkala Restaurant,1,0,3.6,41,8,24,1406,2,9,425.0
14817,Anna Kuteera,1,0,3.8,62,80,24,2224,2,9,200.0
14818,Calicut Restaurant,1,0,3.6,76,36,73,1449,2,9,100.0
14819,Srinidhi Sagar Food Line,1,0,3.7,131,27,73,2224,2,9,400.0
14820,Chubalas Curry And Rice,1,0,4.0,209,36,73,1578,2,9,200.0
14822,Gelato Italiano,1,0,2.9,17,82,37,1296,2,9,150.0
14823,Sannidhi Grand,1,0,3.8,49,36,73,2238,2,9,225.0
14824,Shiro,1,1,4.4,2230,50,48,1371,2,9,325.0
14825,Kaati Zone,1,0,3.1,163,12,73,1112,2,9,125.0
14826,Navarang Fast Food,1,0,3.6,114,36,73,1723,2,9,225.0
14827,New Peking,1,0,4.1,382,36,24,765,2,9,300.0
14828,Atty's Bakery,1,0,4.0,73,20,0,222,2,9,250.0
14829,Manju's Kitchen,1,0,3.3,14,27,73,333,2,9,150.0
14830,Biggies Burger 'n' More,1,0,4.3,184,27,73,514,2,9,800.0
14831,Chung's Chinese Corner,1,0,2.7,283,27,24,700,2,9,200.0
14833,Fullyfilled,1,0,4.0,48,27,73,2098,2,9,100.0
14835,Chung Wah,1,0,3.9,194,20,24,846,2,9,150.0
14836,Ibaco,1,0,4.0,289,27,37,1035,2,9,250.0
14837,Dakshin Biryani & Tiffin,1,0,3.4,334,27,24,104,2,9,650.0
14838,Pathy's Kitchen,1,0,3.5,21,27,73,49,2,9,600.0
14839,Asaivam Restaurant,1,0,4.0,69,27,24,696,2,9,100.0
14840,Oye Amritsar,1,1,4.1,452,12,24,1585,2,9,600.0
14841,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,1,0,3.9,85,27,16,1128,2,9,225.0
14842,Lassi Shop,1,0,3.8,83,27,39,312,2,9,300.0
14844,Peace Restaurant,1,0,2.6,125,27,73,855,2,9,150.0
14846,Haji Ali Juice Centre,1,0,4.0,78,14,75,1179,2,9,350.0
14847,Naachiyar's,1,0,3.9,117,82,24,691,2,9,250.0
14849,The Rice Bowl,1,1,4.3,500,50,25,768,2,9,200.0
14850,MISU,1,1,4.6,1219,80,25,185,2,9,350.0
14851,Ambur Star Briyani,1,0,3.7,17,27,24,1670,2,9,175.0
14853,Pabrai's Fresh & Naturelle Icecreams,1,0,4.2,131,8,37,1302,2,9,175.0
14854,Banjara Melting Pot,1,1,4.2,475,15,24,1754,2,9,300.0
14855,Shaadi Ki Biryani,1,0,2.8,296,14,24,333,2,9,100.0
14856,The Cake House,1,0,3.7,29,82,0,239,2,9,200.0
14857,Tandoor,1,1,3.9,1362,51,46,1585,2,9,250.0
14858,Mahadii's,1,0,3.9,218,36,24,86,2,9,350.0
14859,Zaks Mediterranean Cuisine,1,0,3.9,255,20,24,1499,2,9,200.0
14860,Mummy Dhaba,1,0,3.2,46,82,73,1585,2,9,275.0
14861,Cream Chemistry,1,0,3.9,149,20,37,1302,2,9,250.0
14862,Cafe Thulp,1,0,4.0,719,36,16,523,2,9,150.0
14863,Yuan Restaurant,1,0,3.8,201,21,24,768,2,9,200.0
14864,Teppan Japanese Grill & Sushi Bar,1,0,4.3,904,82,24,1370,2,9,450.0
14865,Vijaya Gardenia,1,0,3.4,63,2,24,1650,2,9,150.0
14866,Feast India Co.,1,0,4.2,133,15,24,204,2,9,400.0
14867,The Grand Taj,1,0,3.2,35,78,73,1649,2,9,200.0
14868,Kenny's Restaurant,1,0,3.7,87,2,73,700,2,9,150.0
14869,Church Street Social,1,0,4.3,7546,12,57,39,2,9,200.0
14870,Pind Balluchi,1,1,4.0,1022,8,24,1883,2,9,100.0
14871,Asia In A Box,1,0,3.0,16,36,24,2348,2,9,125.0
14872,Domino's Pizza,1,0,3.7,288,20,73,2034,2,9,650.0
14873,Classic Lassi Shop,1,0,3.5,43,82,11,303,2,9,600.0
14874,Ta'aam,1,0,4.1,402,15,24,1886,2,9,300.0
14875,Ente Keralam,1,0,4.0,1098,82,24,1435,2,9,200.0
14876,Pulimunchi,1,1,4.3,688,27,24,1488,2,9,275.0
14877,A2B - Adyar Ananda Bhavan,1,0,3.0,566,27,24,2240,2,9,550.0
14878,Paaramparya Restaurant,1,0,3.6,20,36,24,695,2,9,250.0
14879,The Only Place,1,1,4.2,2924,12,24,1324,2,9,300.0
14880,Mangalore pearl - Seafood Restaurant,1,0,4.3,1380,20,24,1488,2,9,200.0
14881,Charminar Kabab Paradise,1,0,4.0,105,20,24,1738,2,9,175.0
14882,Gelato Italiano,1,0,3.2,4,36,38,1303,2,9,400.0
14883,Hotel Rangoon,1,0,3.7,17,82,73,474,2,9,250.0
14884,Green Theory,1,1,4.3,2840,69,26,1367,2,9,650.0
14885,Hoppipola,1,0,4.3,1707,12,57,966,2,9,50.0
14886,Midnight Eats,1,0,3.0,114,20,36,1649,2,9,100.0
14887,Sidra Eatery,1,0,3.9,28,36,73,1785,2,9,850.0
14888,Kabab Korner,1,0,3.9,205,80,24,1700,2,9,75.0
14889,The Egg Factory,1,0,4.2,1766,80,24,867,2,9,1050.0
14890,Chetty's Corner,1,0,3.6,18,36,73,1114,2,9,400.0
14891,Bangalore Masala House,1,0,4.2,255,85,16,559,2,9,100.0
14892,Desi Deck,1,1,3.9,96,8,25,1574,2,9,850.0
14893,Five Star Chicken,1,0,3.7,41,20,73,1114,2,9,750.0
14894,Alibaba Cafe and Restaurant,1,0,3.9,450,20,24,137,2,9,375.0
14895,Retreat Restaurant,1,0,3.5,86,64,24,778,2,9,250.0
14896,Taipan,1,0,3.5,126,20,24,768,2,9,150.0
14898,Baskin Robbins,1,0,3.1,21,20,37,1302,2,9,75.0
14899,Dolci Desserts,1,0,4.3,654,15,20,588,2,9,100.0
14900,Giselle Resto Cafe,1,1,4.1,836,36,16,642,2,9,1000.0
14901,Carnival de Goa,1,1,4.2,982,82,25,1244,2,9,250.0
14904,Fruit Face,1,0,3.7,21,27,75,1200,2,9,500.0
14905,The Tao Terraces,1,1,4.0,1913,51,24,2345,2,9,125.0
14906,Lazio Steaks & More,1,0,3.9,119,20,24,919,2,9,150.0
14907,McDonald's,1,0,3.7,184,8,73,457,2,9,375.0
14908,RockSalt,1,1,4.4,487,80,7,1536,2,9,200.0
14910,Mad Over Donuts,1,0,3.9,148,8,50,231,2,9,100.0
14911,Cafe Coffee Day,1,0,3.1,31,20,16,597,2,9,225.0
14912,99 Pancakes,1,0,4.1,42,12,37,1058,2,9,300.0
14913,Jai Mataji Farshan & Sweets,1,0,3.8,47,2,84,1531,2,9,325.0
14914,Bhavani Sri,1,0,3.0,110,27,24,61,2,9,250.0
14915,Waffle Stories,1,0,3.8,31,2,50,1041,2,9,400.0
14916,Aadvik Nightfood,1,0,3.6,22,20,36,1092,2,9,700.0
14917,Chai Central,1,0,3.2,10,64,75,2333,2,9,75.0
14918,Chilli Chicken,1,0,3.1,7,8,73,1092,2,9,200.0
14919,Haldiram's Express,1,0,3.6,44,8,56,1585,2,9,1050.0
14921,NoLimmits Lounge and Club,1,1,4.0,2112,8,33,729,2,9,750.0
14922,Chickpet Donne Biryani House,1,0,3.7,45,14,73,333,2,9,600.0
14923,Roll Er Dokaan,1,0,3.2,18,8,73,2316,2,9,225.0
14924,Food Town,1,0,3.2,5,27,73,700,2,9,250.0
14925,Fabcafe,1,1,4.1,55,51,16,612,2,9,500.0
14926,Hotel Chandrika,1,0,3.8,207,15,24,2238,2,9,200.0
14927,Infinitea Tea Room & Tea Store,1,1,4.3,860,15,26,905,2,9,75.0
14928,Bheema's,1,0,4.0,781,12,24,49,2,9,750.0
14929,Ayda Persian Kitchen,1,0,3.9,224,12,24,1844,2,9,300.0
14930,Sreeraj Lassi Bar,1,0,3.9,49,65,39,289,2,9,
14931,Cream Stone,1,0,4.0,80,20,37,1041,2,9,700.0
14933,Luqma Restaurant,1,0,3.5,18,64,73,1662,2,9,100.0
14934,Ice Cream Works,1,0,3.9,84,27,37,1312,2,9,125.0
14935,The Open Box,1,1,4.2,2273,80,25,1089,2,9,250.0
14936,Popat,1,0,3.2,41,27,73,1585,2,9,1000.0
14937,Bangalore Bytes,1,0,3.5,121,8,73,1196,2,9,500.0
14938,Panchavati Gaurav Thali,1,1,4.0,929,8,24,2055,2,9,200.0
14939,Paratha Xpress,1,0,3.5,7,82,73,1649,2,9,250.0
14941,Mummy's Kitchen,1,0,3.5,9,2,86,2149,2,9,125.0
14942,The Grill House,1,1,4.1,765,82,25,35,2,9,150.0
14943,Fat Buddha,1,1,4.0,456,15,24,839,2,9,200.0
14944,Ganesh Food Joint,1,0,3.7,30,20,73,2224,2,9,150.0
14945,Foodhall,1,0,4.0,113,51,24,1326,2,9,150.0
14946,Kartik's Mithai Shoppe,1,0,4.1,110,27,82,1531,2,9,125.0
14947,Pizbur Trap,1,0,3.5,9,36,86,8,2,9,200.0
14950,Wolf'ish,1,0,4.1,461,12,16,491,2,9,175.0
14951,Mudpipe Cafe,1,0,4.2,740,15,16,564,2,9,150.0
14952,Mad Over Biryani,1,0,2.9,17,12,73,1623,2,9,75.0
14953,Toscano,1,1,4.4,1842,50,24,1366,2,9,200.0
14955,Amande Patisserie,1,0,4.2,231,50,3,250,2,9,250.0
14956,Sri Udupi Park,1,0,3.8,106,69,73,2176,2,9,400.0
14957,Kolkatta Famous Chat,1,0,3.7,23,27,73,2308,2,9,350.0
14958,Oh My Chaat,1,0,3.1,18,20,73,2278,2,9,350.0
14960,Cobaja,1,1,4.3,63,8,24,2142,2,9,450.0
14961,The Souk,1,0,3.7,66,82,16,652,2,9,100.0
14962,Just Bake,1,0,3.4,6,82,0,230,2,9,850.0
14963,Drunken Monkey,1,0,3.5,8,20,14,293,2,9,250.0
14964,Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,1,0,3.9,54,51,37,1035,2,9,600.0
14965,Ideal Kitchen,1,0,3.5,26,27,73,1770,2,9,150.0
14966,Desi Vdesi,1,0,3.9,201,12,73,1174,2,9,325.0
14967,ASEAN - On The Edge,1,1,4.4,864,51,24,197,2,9,250.0
14968,King Kong,0,0,3.8,63,20,73,768,2,9,150.0
14969,Sweet Chariot,1,0,3.8,111,15,37,239,2,9,100.0
14970,The Belgian Waffle Co.,1,0,3.7,73,69,37,1041,2,9,750.0
14971,Hatti Kaapi,1,0,3.8,31,82,73,2159,2,9,475.0
14972,Kitchen On Table,1,0,4.0,48,8,24,1376,2,9,100.0
14973,Qissa Khawani,1,0,4.4,319,12,24,1883,2,9,800.0
14974,EatWater,1,0,4.2,121,50,25,1581,2,9,750.0
14976,Ooty Chocolates,1,0,3.8,55,27,37,1035,2,9,500.0
14977,Kanteen 038,1,0,3.9,51,27,73,2329,2,9,150.0
14978,Ujwal Restaurant,1,0,3.9,134,85,24,2135,2,9,150.0
14980,Mount View Fast Food,1,0,3.3,4,85,85,1199,2,9,100.0
14981,Pai Vihar,1,0,2.8,56,85,73,2266,2,9,500.0
14983,Cafe Terra,1,0,4.2,392,27,16,559,2,9,250.0
14984,Donne Biriyani Mane,1,0,3.5,62,12,73,379,2,9,100.0
14985,Chocs Cafe,1,0,3.6,23,64,73,1145,2,9,450.0
14986,Chai Point,0,0,3.8,149,15,14,2329,2,9,250.0
14987,20 Feet High,1,1,4.0,933,12,25,23,2,9,150.0
14988,Kabab Nation Corner,1,0,3.5,75,8,73,704,2,9,350.0
14989,Anupam's Coast II Coast,1,1,4.2,854,12,24,2131,2,9,175.0
14990,Airlines Hotel,1,0,4.0,868,50,73,2254,2,9,500.0
14991,Vinny's,1,0,3.9,205,8,24,2043,2,9,125.0
14992,The Bundle Co.,1,0,4.4,223,51,73,453,2,9,600.0
14993,Danny Lambas Punjabi Dhaba,1,0,3.5,98,27,24,1670,2,9,150.0
14994,Chocolate D'Luxe,1,0,4.1,183,50,37,1035,2,9,350.0
14995,New Kudla Family Resturant,1,0,3.2,4,51,73,1649,2,9,500.0
14996,Raidan Restaurant,0,0,4.0,169,20,24,117,2,9,400.0
14997,The Chariot,1,0,2.9,50,8,73,2224,2,9,750.0
14998,Kobe Sizzlers,1,0,4.1,1120,8,24,15,2,9,700.0
14999,Goli Vada Pav No. 1,1,0,3.5,33,82,73,2278,2,9,450.0
15000,Happy Fillings,1,0,3.4,8,82,73,700,2,9,350.0
15001,Cookie Man,1,0,3.4,36,8,37,222,2,9,125.0
15002,The ThickShake Factory,1,0,2.8,19,15,11,307,2,9,350.0
15003,Kadamba Foodline,1,0,3.7,30,82,73,813,2,9,250.0
15004,Ebony,1,1,4.3,3135,51,24,1935,2,9,150.0
15005,NTR Cafe,1,0,2.9,4,36,73,741,2,9,500.0
15007,North Se South Veg & Non-Veg Restaurants,1,0,3.6,17,2,73,2224,2,9,125.0
15008,Arya Bhavan Sweets,1,0,3.2,9,85,84,1533,2,9,150.0
15009,The Deagh,0,0,3.7,58,20,73,781,2,9,375.0
15010,Patels Inn,1,0,3.8,48,64,24,1649,2,9,300.0
15011,Kenz Karam,1,0,3.5,10,20,86,1041,2,9,100.0
15012,Cafe Idly,1,0,3.7,81,20,73,2198,2,9,650.0
15013,Meaza Ginger Multi Cuisine Restaurant,1,0,3.6,91,27,24,1767,2,9,200.0
15014,GMT - Gelateria Montecatini Terme,1,0,4.4,68,50,73,1058,2,9,300.0
15016,Elements Eatery,0,1,4.0,608,20,24,1027,2,9,250.0
15018,The Konkan - Seafood Restaurant,1,1,4.4,218,80,24,2126,2,9,125.0
15019,Arabian Mataam,0,0,3.7,19,20,73,341,2,9,400.0
15020,Gobble Up Churros Cafe,1,0,3.8,37,82,24,287,2,9,175.0
15021,Classic Shop,1,0,3.3,6,82,11,1379,2,9,400.0
15022,Penta Cafe,1,0,3.5,12,20,73,1386,2,9,150.0
15023,Chetty's Coffee,1,0,3.9,43,27,73,2149,2,9,700.0
15025,Beijing Bites,0,0,3.9,221,20,24,839,2,9,150.0
15026,South Inn,1,0,3.1,24,20,73,2149,2,9,250.0
15027,Red Lantern,1,0,3.7,161,15,24,839,2,9,90.0
15028,Tewari Bros Mithai Shoppie,1,0,3.8,59,14,83,1164,2,9,250.0
15029,Benjarong,1,0,4.2,858,82,24,2337,2,9,250.0
15030,Petoo,0,0,3.7,32,14,24,1832,2,9,400.0
15031,AQNI,1,0,3.0,9,64,73,1883,2,9,375.0
15032,Bubbles,1,0,3.7,21,20,16,475,2,9,125.0
15033,Zodiac - Fortune Select JP Cosmos Hotel,1,1,3.8,91,15,24,1955,2,9,275.0
15034,Nandhini Deluxe,0,0,3.6,196,20,24,1585,2,9,250.0
15035,Nossa Goa,1,1,4.1,297,70,24,1245,2,9,350.0
15036,Ramji Chaiwale,1,0,3.7,43,82,73,293,2,9,125.0
15037,The Wok Shop,1,0,3.4,7,82,73,170,2,9,100.0
15038,OCEA HOTEL,1,0,3.7,279,8,24,1754,2,9,300.0
15039,Le Rock,1,0,4.0,1207,8,10,909,2,9,150.0
15040,7 to 11 Food Court,1,0,3.7,16,2,73,1121,2,9,50.0
15041,Vanas,1,0,4.0,72,36,24,1488,2,9,175.0
15042,Kulfi Point,0,0,3.4,5,27,37,1035,2,9,175.0
15043,Frozen Bottle,1,0,4.0,35,8,11,291,2,9,750.0
15044,Brownie Heaven,1,0,4.2,34,15,37,1055,2,9,250.0
15045,C Sharp Kitchen,1,0,3.4,50,12,24,1699,2,9,400.0
15046,New Leaf Restaurant,1,1,3.7,59,27,24,700,2,9,275.0
15047,Natural Ice Cream,0,0,4.1,119,20,37,1302,2,9,1050.0
15048,Viceroy's Sarathi,1,0,3.8,137,27,25,1649,2,9,450.0
15049,Mamma Mexicana,1,1,2.2,406,51,24,1512,2,9,550.0
15050,Sherlock's Pub,0,0,4.0,580,20,71,982,2,9,275.0
15051,Misal Darbar,1,0,3.2,23,27,73,1472,2,9,700.0
15052,The Coffee Bean & Tea Leaf,1,0,3.8,260,51,16,475,2,9,300.0
15053,SGS Non Veg - Gundu Pulav,1,0,3.9,55,80,73,366,2,9,200.0
15055,Chels Cafe,1,0,3.5,20,15,16,513,2,9,200.0
15057,Cafe Arabica,0,0,4.1,147,20,74,496,2,9,200.0
15059,The Brekkie Shop,1,0,3.7,58,27,36,1276,2,9,200.0
15060,The Yogisthaan Cafe,1,0,4.2,1208,27,16,618,2,9,375.0
15061,Sweet Moments Express,1,0,3.7,19,36,84,1531,2,9,150.0
15062,The Bong,1,0,3.1,38,20,73,272,2,9,400.0
15063,Step Right Up,1,0,4.1,153,85,16,622,2,9,250.0
15065,Berrylicious Cafe,1,0,4.1,125,51,26,904,2,9,75.0
15066,Aroma Of Asia,0,0,3.9,49,20,73,1165,2,9,300.0
15067,Tea Break Lounge,1,0,3.3,5,8,73,293,2,9,375.0
15068,Naidoo's Donne Biryani,1,0,3.5,13,36,86,2160,2,9,300.0
15069,The J,1,0,4.0,134,12,73,1102,2,9,600.0
15070,Cafe Imroze,1,0,3.6,95,28,19,522,2,9,250.0
15071,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,1,0,3.4,9,78,16,475,2,9,300.0
15072,Lickity Garden,1,0,3.2,4,20,24,970,2,9,175.0
15074,China Hut,0,0,3.8,56,20,56,700,2,9,250.0
15075,Xian,1,1,3.8,81,82,24,839,2,9,200.0
15076,Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,1,0,3.9,462,82,19,484,2,9,275.0
15077,Ging - Royal Orchid Central,1,1,4.3,226,51,7,159,2,9,200.0
15078,BLOW,1,1,4.3,950,12,16,541,2,9,300.0
15080,Sri Krishna Sweets,1,0,3.8,33,27,83,1520,2,9,100.0
15081,The Biere Club,1,1,4.3,3485,50,72,889,2,9,275.0
15082,Marzipan Cafe & Bakery,1,0,4.2,432,82,17,651,2,9,100.0
15085,Ramana's,1,1,4.0,378,15,24,1710,2,9,200.0
15086,Meenu Oota Da Maane,1,0,3.2,23,8,24,2129,2,9,200.0
15087,Dolphin Bar,0,0,3.8,61,20,30,753,2,9,100.0
15089,Jars,1,0,3.8,28,85,36,1250,2,9,100.0
15090,Chaitanya Veg,1,0,3.2,5,78,73,2149,2,9,350.0
15092,Fatso's,1,0,3.8,72,8,16,488,2,9,400.0
15093,Midnight Hunger Solutions 24/7,1,0,2.1,254,27,36,1894,2,9,175.0
15094,Driven Cafe,1,0,3.4,122,69,16,509,2,9,375.0
15096,Indira Darshini,1,0,3.6,17,20,73,2149,2,9,400.0
15098,Shanthi Sagar Deluxe,0,0,2.7,52,20,24,2246,2,9,75.0
15099,Munchies,1,0,3.9,65,8,74,1099,2,9,400.0
15100,Kumbakonam Degree Coffee,1,0,3.8,66,27,73,2198,2,9,225.0
15101,ZOROY Luxury Chocolate,1,0,4.0,68,12,37,1035,2,9,250.0
15102,Little White Kitchen,1,0,3.8,20,8,73,732,2,9,125.0
15103,Patisserie Nitash,0,0,4.2,142,20,0,222,2,9,400.0
15104,KC Das,1,0,3.9,371,51,84,1531,2,9,500.0
15109,Happy Belly Bakes,1,0,4.1,252,20,2,225,2,9,150.0
15116,The Sugar Fairy,0,0,4.3,241,20,0,230,2,9,125.0
15117,Chote Miya,0,0,3.6,16,20,73,1556,2,9,250.0
15118,Royal Savera,0,0,3.1,14,20,24,1649,2,9,150.0
15119,Al Sadique Restaurant,0,0,3.5,31,20,73,1576,2,9,100.0
15120,Monsoon Express,1,0,3.4,7,51,86,1032,2,9,75.0
15121,Raaga,1,1,3.8,298,27,24,1684,2,9,75.0
15122,Marathi Biriyani House,1,0,3.3,6,20,73,2160,2,9,150.0
15123,Lychees Restaurant,0,0,3.2,53,20,73,1092,2,9,100.0
15124,New Taj Biryani Centre,0,0,3.5,17,20,73,429,2,9,500.0
15125,Mom Made Food,0,0,3.4,11,20,73,385,2,9,350.0
15126,Mothers Recipe Restaurant,0,0,3.1,11,20,24,2224,2,9,100.0
15127,The Jungle Terrace,1,0,3.5,13,8,24,973,2,9,150.0
15128,Mini Fast Food,0,0,3.1,11,20,73,1129,2,9,250.0
15131,New Prashanthi Donne Biryani,0,0,3.3,6,20,73,333,2,9,250.0
15133,Night Food Joint,0,0,2.9,142,20,36,1649,2,9,150.0
15134,Just Baked,0,0,3.4,11,20,0,230,2,9,175.0
15135,Siddique Kabab Centre,1,0,3.9,431,20,24,1565,2,9,125.0
15136,Simu?s Kitchen,0,0,3.4,6,20,86,1562,2,9,100.0
15137,L'inoui,0,0,3.5,6,20,37,1035,2,9,550.0
15138,Sadi's Biriyani,0,0,3.3,41,20,86,333,2,9,300.0
15139,Konfection Konnection,0,0,3.6,13,20,86,1035,2,9,250.0
15140,Leia Soul Food,0,0,3.8,41,20,0,222,2,9,275.0
15143,Baker Ree,0,0,3.7,22,20,36,230,2,9,275.0
15144,Siridhanya Upahara Darshini,1,0,3.4,5,20,24,2149,2,9,50.0
15145,Maddy's Cafe,1,0,3.8,35,36,16,538,2,9,150.0
15146,Norsha Caffe,1,0,3.3,6,14,16,475,2,9,300.0
15147,Manjit Da Dhaba,1,0,4.3,783,20,73,1585,2,9,250.0
15148,Sunny Side Bistro,1,0,3.8,362,20,16,538,2,9,175.0
15149,Northern Route,1,0,4.1,162,80,73,1995,2,9,100.0
15150,Hotel Ramprasad,1,0,4.2,93,8,73,2176,2,9,200.0
15151,The Teal Door Cafe,1,0,4.2,1876,27,16,538,2,9,150.0
15152,Smokie Brownie,0,0,3.2,7,8,16,475,2,9,225.0
15153,Naidu Military Hotel,1,0,3.5,13,36,73,2149,2,9,100.0
15154,Roll Junction,1,0,2.9,56,15,73,1182,2,9,150.0
15155,Kerala Kitchen,1,0,3.2,33,8,73,1444,2,9,75.0
15157,ROYCE' Chocolate,1,0,3.5,6,51,35,1035,2,9,225.0
15158,Homemade Food,1,0,3.8,24,27,85,2149,2,9,175.0
15160,Hunger Twist,1,0,3.8,60,35,36,1114,2,9,125.0
15161,Kadai Crust - Amma Veetu Samayal,0,0,3.8,263,27,86,697,2,9,125.0
15162,Gundappa Donne Biryani,0,0,2.5,90,27,73,333,2,9,75.0
15165,Bon Sante,0,0,3.6,104,8,16,562,2,9,125.0
15166,Sugarberryz Cakery,0,0,3.9,53,14,86,230,2,9,200.0
15167,The Gluten Free Baking Co.,0,0,3.8,41,2,0,222,2,9,175.0
15168,Chocolate Junction,0,0,3.8,29,82,37,1035,2,9,50.0
15176,Express Food Delivery,0,0,2.8,38,82,36,1649,2,9,175.0
15178,Kanis Kitchen,0,0,3.6,14,78,73,2149,2,9,200.0
15179,Kinara Tiffany,0,0,3.6,15,85,73,2149,2,9,200.0
15182,Ice & Spice,1,0,3.0,96,20,86,1015,2,9,75.0
15186,Raidan Oven,0,0,3.3,4,20,73,2063,2,9,50.0
15187,Bake and Fry,1,0,3.1,9,64,86,1187,2,9,150.0
15188,Cafe Cerrise,1,0,3.8,96,82,16,579,2,9,75.0
15190,Arina's,0,0,3.3,5,20,73,1129,2,9,200.0
15191,Delices,1,0,3.1,6,82,0,230,2,9,100.0
15193,Kaulige Millet Corner,1,0,4.0,32,8,73,1278,2,9,125.0
15194,Sartaj Ambur Dum Biryani,0,0,3.2,4,20,73,333,2,9,150.0
15195,Bada Bing Burgers,1,0,3.5,13,20,36,454,2,9,150.0
15197,Healthy Sapiens,1,0,3.8,22,20,36,25,2,9,225.0
15198,The French Loaf,1,0,2.8,142,20,5,230,2,9,275.0
15200,Rawal Jalebi,1,0,3.5,9,14,37,1035,2,9,250.0
15204,Sri Ayodhya Veg,0,0,3.6,24,85,73,2224,2,9,150.0
15206,Byblos,1,1,4.2,1347,27,24,1461,2,9,150.0
15208,Rich Bowl,1,0,3.5,24,20,73,1758,2,9,200.0
15209,Taj Hotel,1,0,3.7,110,78,24,1649,2,9,225.0
15210,Tiger Trail - Ramada Hotel,1,1,4.0,188,78,25,1868,2,9,150.0
15211,Curries And Pickles,1,0,3.8,77,27,73,83,2,9,200.0
15212,Tasty King,1,0,3.4,8,64,73,2224,2,9,100.0
15213,Cool Corner Arun Ice Cream,0,0,3.5,8,20,37,1058,2,9,75.0
